# h,rectangle,trapz,simpson
5.000000000000000278e-02,2.478941722738259301e-02,2.083128791818822378e-04,6.963571497209386507e-08
4.901960784313725422e-02,2.430735534846295565e-02,2.002231873836635145e-04,6.432665422551053780e-08
4.807692307692307959e-02,2.384368319444440942e-02,1.925957541759615310e-04,5.951414738802895954e-08
4.716981132075472039e-02,2.339736823244464858e-02,1.853960190310033340e-04,5.514348089263876318e-08
4.629629629629629373e-02,2.296745380294673566e-02,1.785925920216868690e-04,5.116684853589958948e-08
4.545454545454545581e-02,2.255305227673076729e-02,1.721569110575416062e-04,4.754237359350099723e-08
4.464285714285714385e-02,2.215333893925741648e-02,1.660629416031511596e-04,4.423327659708320425e-08
4.385964912280701511e-02,2.176754651387469153e-02,1.602869129371242707e-04,4.120718966049707888e-08
4.310344827586207184e-02,2.139496024727716161e-02,1.548070859689332224e-04,3.843555251847874388e-08
4.237288135593220151e-02,2.103491349107944330e-02,1.496035483832258706e-04,3.589311070584244590e-08
4.166666666666666435e-02,2.068678372200682958e-02,1.446580334638625231e-04,3.355749189637435848e-08
4.098360655737704611e-02,2.034998895073147906e-02,1.399537595672128987e-04,3.140882665064737012e-08
4.032258064516128920e-02,2.002398447581033025e-02,1.354752875499798392e-04,2.942944021810944832e-08
3.968253968253968034e-02,1.970825994462188646e-02,1.312083939222219442e-04,2.760357187270301438e-08
3.906250000000000000e-02,1.940233668798807543e-02,1.271399577662535307e-04,2.591715553279527740e-08
3.846153846153846367e-02,1.910576529915353206e-02,1.232578597427647082e-04,2.435759860475172900e-08
3.787878787878787984e-02,1.881812343142907906e-02,1.195508917257726011e-04,2.291361855810691850e-08
3.731343283582089221e-02,1.853901379178513054e-02,1.160086757998612939e-04,2.157508749434100537e-08
3.676470588235294240e-02,1.826806231033462069e-02,1.126215915503436804e-04,2.033289714375996482e-08
3.623188405797101580e-02,1.800491646800050916e-02,1.093807106693489573e-04,1.917884429047944650e-08
3.571428571428571230e-02,1.774924376664177572e-02,1.062777380473889366e-04,1.810552685554966956e-08
3.521126760563380448e-02,1.750073032767129888e-02,1.033049586425249800e-04,1.710626396089764967e-08
3.472222222222222376e-02,1.725907960674533115e-02,1.004551894796534839e-04,1.617500355877155016e-08
3.424657534246575152e-02,1.702401121348984248e-02,9.772173621147572931e-05,1.530626736467866067e-08
3.378378378378378566e-02,1.679525982634277881e-02,9.509835376864117507e-05,1.449508690853917869e-08
3.333333333333333287e-02,1.657257419372015761e-02,9.257921065586316445e-05,1.373694402673208970e-08
3.289473684210526133e-02,1.635571621358966610e-02,9.015885652008392981e-05,1.302772911770944120e-08
3.246753246753246447e-02,1.614446008435965751e-02,8.783219263097663543e-05,1.236370561485955477e-08
3.205128205128204844e-02,1.593859152072596430e-02,8.559444502065360894e-05,1.174145580762342433e-08
3.164556962025316666e-02,1.573790702874866554e-02,8.344113996283653023e-05,1.115787107153209945e-08
3.125000000000000000e-02,1.554221323500115659e-02,8.136808160230657450e-05,1.061009857750150331e-08
3.086419753086419582e-02,1.535132626515434140e-02,7.937133149038544389e-05,1.009553596276191456e-08
3.048780487804877981e-02,1.516507116778864628e-02,7.744718987456877812e-05,9.611794915542759554e-09
3.012048192771084321e-02,1.498328137963600426e-02,7.559217853536637222e-05,9.156685187861057784e-09
2.976190476190476025e-02,1.480579822883942853e-02,7.380302506820868302e-05,8.728198608309867268e-09
